яблоки,12,15,2024-06-01
груши,14,11,2024-06-02
сливы,18,15,2024-06-03
печенье,13,23,2024-06-04
конфеты Рот-Фронт,9,22,2024-06-05
бананы,15,12,2024-06-06
апельсины,11,14,2024-06-07
виноград,17,16,2024-06-08
манго,8,18,2024-06-09
клубника,10,20,2024-06-10
яблоки,14,15,2024-06-11
груши,16,11,2024-06-12
сливы,19,15,2024-06-13
печенье,12,23,2024-06-14
конфеты Рот-Фронт,10,22,2024-06-15
бананы,13,12,2024-06-16
апельсины,9,14,2024-06-17
виноград,15,16,2024-06-18
манго,7,18,2024-06-19
клубника,11,20,2024-06-20
яблоки,13,15,2024-06-21
груши,15,11,2024-06-22
сливы,17,15,2024-06-23
печенье,14,23,2024-06-24
конфеты Рот-Фронт,8,22,2024-06-25
бананы,11,12,2024-06-26
апельсины,10,14,2024-06-27
виноград,16,16,2024-06-28
манго,9,18,2024-06-29
клубника,12,20,2024-06-30